TAPER_RATIO_0_X,TAPER_RATIO_0_Y,TAPER_RATIO_0.2_X,TAPER_RATIO_0.2_Y,TAPER_RATIO_1.0_X,TAPER_RATIO_1.0_Y
0.0013441103528176734,0.0001810249633411587,-1.1102230246251565e-16,0,0,0
0.018840173059864962,0.1708875653952706,0.016176843286689224,0.35571405296790637,0.0188809036766171,0.4739233540305232
0.043072627215292925,0.4603464817798386,0.03774370485689993,0.8131641353342651,0.05124364149816252,1.2526927463297195
0.06461233504100217,0.7157727050560272,0.07547609565359059,1.542151662714291,0.07820730978801971,1.8623848228670727
0.09693434224579578,1.1915063087199727,0.10242392425915536,2.0339964881157133,0.109212360384497,2.5399612606578454
0.11847631288354687,1.4637678535870098,0.12399078582936585,2.491446570482072,0.13483191832153674,3.1494723122318593
0.14541509024094434,1.888271392625045,0.16171412537788976,3.1530928114987073,0.1698738256005503,3.861262468094351
0.1669661121268624,2.227874223855471,0.19135470031317325,3.678970330008509,0.19277800908745313,4.2683876106515095
0.19121214315454127,2.618345069785125,0.22368575876613406,4.222045220035845,0.2264667547654824,4.91265545518727
0.2208459296536991,3.0937166235223863,0.2560145544070527,4.748284788472332,0.2534077949349214,5.353994315816152
0.2504797161528576,3.5690881772596477,0.2910293079415651,5.258051085244657,0.2803533607284443,5.829003819626727
0.2962745062544123,4.282326532828879,0.32604858710016105,5.801488025198677,0.3086385112507015,6.270523705218951
0.3286033018953314,4.808566101265365,0.3529805760214333,6.175485599464166,0.32884089715971854,6.576274868304341
0.35554207925272907,5.233069640303399,0.3745248094712261,6.464582465922051,0.3678925073767674,7.120254883148388
0.3905568327872413,5.742835937075722,0.4122187324632067,6.907369526257671,0.39481997067395613,7.460581814232184
0.43632673195633687,6.270885755145634,0.4418231024058217,7.1638818993139175,0.42308701869987875,7.767419127097628
0.4847576980865662,6.597273764052064,0.47948082040513396,7.337303814195979,0.45537960934812904,8.024293550080557
0.5331569848482107,6.687967270686628,0.5439913289042557,7.295487047663876,0.49841150594667005,8.181604243225143
0.5815200666171867,6.509295631867635,0.592340833800981,7.015803479299797,0.5333583751199291,8.186310892272047
0.6110475009503813,6.193407070835069,0.6352957947901017,6.6007132383555716,0.5790287105591863,7.973606560344674
0.6405523071631578,5.709165293894029,0.6836023062580328,6.001158559765396,0.6112579424702669,7.759091978783877
0.6619924512590287,5.223837367172935,0.7184835538820802,5.517640882677723,0.6461505041545228,7.359750909650443
0.6780719936279214,4.855632591734402,0.7506743179884505,5.01692583407252,0.6810294889665285,6.859397910971926
0.7048682138266866,4.219510870549053,0.7855442515522888,4.449231549030613,0.7226154486703715,6.258938107565035
0.7236246628410059,3.7674915370829645,0.8230910917615541,3.797722705961151,0.742731847721801,5.924947050198224
0.7423833746673667,3.332307525207728,0.8512472619974292,3.279629260875076,0.7735739758512696,5.390380333447984
0.7638212559511957,2.830144276895785,0.8740337792581598,2.8113176807081715,0.7950209083832662,4.955558371499432
0.7879405695045347,2.2778371137379825,0.8954716605419886,2.3091544323962303,0.8218352310783654,4.454119223040859
0.8147503665755507,1.7427273220977177,0.9222837204250467,1.7908799623468106,0.847300917796564,3.9188284064372496
0.8388787313770569,1.2577614453033092,0.9397096359587986,1.439691533462467,0.8714224941619448,3.3833565648702972
0.8683835375898339,0.7735196683622707,0.9531077460581812,1.1216306728697916,0.8955395449032422,2.8142140801216495
0.8979064462989446,0.42396046414800814,0.9665058561575639,0.8035698122771144,0.9183192737278472,2.295396535182208
0.9220710160931194,0.20835973280715514,0.9852690936080084,0.4020564435835716,0.9477924005720388,1.5754602559693005
0.9462401115113772,0.02642964464799924,0.9986604152712659,0.03348961821835417,1.001348635976901,0.03385166814504004
