K_WB_X,K_WB_Y,K_BW_X,K_BW_Y
-0.00013342088100515292,1.001178344367372,-0.00022007192949113907,-0.0011760403618001902
0.06612452052162954,1.0524366156591025,0.07789394125225829,0.10511505369621821
0.11478435206760607,1.0931624353236506,0.11849162759881432,0.15983250356176293
0.16146803494091622,1.13194667751707,0.16880850142871112,0.2411813524629236
0.20848701986437018,1.1734160357999892,0.2167251616184691,0.30982567661952864
0.2563607443965995,1.2182246293499452,0.2532200592419304,0.36652680837896057
0.30325605805089567,1.2636139758690308,0.2912328022565527,0.4321473794868005
0.35073789664503546,1.3092134901939625,0.3201625149015899,0.4819676076943402
0.3982059622139121,1.3564726983593434,0.3493183027367884,0.5303049541329719
0.44567552265073346,1.402130902956439,0.39544000649110694,0.6121914032995013
0.49320053624302546,1.4486183726383153,0.43031335691807887,0.6747142977008433
0.5408924614680399,1.4970022674587875,0.46740489067248,0.7396982676363004
0.5888281412955181,1.5492911992566172,0.48516249852801413,0.7796540627145245
0.6353189332808478,1.600625955941623,0.5103079044829091,0.8258581154021158
0.6826987357804419,1.6507763977951608,0.529170823292813,0.8663328342086303
0.7283142748997005,1.7009540461145043,0.5811418397290462,0.9722661228954577
0.7738218048954835,1.7514128190290186,0.5490398552592506,0.9007887873423692
0.8225834848967224,1.8071830672315778,0.6063530368638268,1.0202481657180242
0.8672390880890188,1.855609750984726,0.634333862409967,1.0846909127089446
0.9146095212567007,1.9070672698388482,0.665227930071439,1.1465974717254426
0.9332368032975513,1.930080411295186,0.6902189191158732,1.203078964467962
0.9708676308960205,1.9745924317130419,0.7146926192031866,1.2549218466302765
0.9968953745596256,2.0042843733973488,0.7559918804308572,1.34503469341658
,,0.7885483536793547,1.4261918934166105
,,0.8153009217649618,1.4881426408065006
,,0.8468735056331689,1.5662195071483147
,,0.8772113241532571,1.648951345104937
,,0.9083555212564902,1.732672097470927
,,0.9330619701390401,1.8052490213581853
,,0.9548538937454558,1.862354469517568
,,0.9963888552917857,1.9973577254710453
