level1_up_X,level1_up_Y,level1_down_X,level1_down_Y,level2_up_X,level2_up_Y,level2_down_X,level2_down_Y
0.9980702632243643,1.8339040605501604,0.9901756133847914,0.28668520798889635,0.9931539446695359,3.112149652960774,0.9995580698382085,0.19459198620253632
1.480538207063766,2.2287994648711282,1.5377404579731548,0.35822698068003667,1.5494659483109803,3.8536374862854834,1.4692097694508774,0.235398475539411
2.4293315248352387,2.8636380736846627,2.617474283624025,0.46675393726362,2.428493197820824,4.815699360835293,2.12027806178195,0.28342042963139336
4.532245450360043,3.9084512731466483,4.707353826623152,0.6281914190944612,3.9847652654893224,6.215651923857347,3.353757947689581,0.3542053870327099
7.301595458101832,4.930149481331168,7.445852407637801,0.7886715887987148,5.750651042574578,7.3484111394713665,6.795230504356809,0.5017677430280146
10.065015962337704,5.773364383841499,11.457833652537845,0.9809198332551994,9.699091187669763,9.617624772820212,12.333358007242094,0.6784571690228746
14.131163916068461,6.7928033052989605,22.793353482917155,1.3830245941454216,21.147678216020594,14.269254359356228,21.978246123872495,0.908888812842229
21.350261693840867,8.29458402388258,39.15539851732455,1.802167286584411,37.00072656115214,18.852894621930155,34.13226919161863,1.1305338721288318
47.413456730222656,12.364576623860629,61.36826903770724,2.2727097924999393,64.14642475542635,25.020701711959436,65.45496628908855,1.550446707762759
98.74602989556234,17.923972228818688,99.32020556095614,2.893193573502669,98.7101609368342,30.9782313439412,99.3472723076426,1.9193789363727884
